s,A(s) (GHz),B(s) (GHz)
0.000,9.62694800,0.23167120
0.001,9.60955900,0.23208360
0.002,9.59205400,0.23250480
0.003,9.57446100,0.23293260
0.004,9.55686800,0.23336070
0.005,9.53927500,0.23378930
0.006,9.52153700,0.23422970
0.007,9.50374200,0.23467490
0.008,9.48594800,0.23512060
0.009,9.46815300,0.23556670
0.010,9.45035900,0.23601330
0.011,9.43256400,0.23646020
0.012,9.41476900,0.23690760
0.013,9.39697500,0.23735540
0.014,9.37918000,0.23780360
0.015,9.36138500,0.23825230
0.016,9.34359100,0.23870140
0.017,9.32579600,0.23915080
0.018,9.30800100,0.23960080
0.019,9.29014200,0.24005610
0.020,9.27214700,0.24052220
0.021,9.25415200,0.24098880
0.022,9.23615800,0.24145580
0.023,9.21814300,0.24192500
0.024,9.19993200,0.24241140
0.025,9.18172000,0.24289830
0.026,9.16350900,0.24338570
0.027,9.14529800,0.24387360
0.028,9.12708600,0.24436200
0.029,9.10887500,0.24485090
0.030,9.09066300,0.24534020
0.031,9.07245200,0.24583010
0.032,9.05424000,0.24632040
0.033,9.03602900,0.24681120
0.034,9.01781800,0.24730260
0.035,8.99960600,0.24779440
0.036,8.98137800,0.24828810
0.037,8.96294600,0.24879900
0.038,8.94451400,0.24931050
0.039,8.92608200,0.24982260
0.040,8.90765100,0.25033510
0.041,8.88910700,0.25085860
0.042,8.87043500,0.25139460
0.043,8.85176300,0.25193110
0.044,8.83309100,0.25246820
0.045,8.81441900,0.25300590
0.046,8.79574700,0.25354410
0.047,8.77707400,0.25408290
0.048,8.75840200,0.25462230
0.049,8.73973000,0.25516230
0.050,8.72105800,0.25570290
0.051,8.70238600,0.25624400
0.052,8.68371400,0.25678570
0.053,8.66504200,0.25732790
0.054,8.64616700,0.25788900
0.055,8.62724900,0.25845450
0.056,8.60833200,0.25902070
0.057,8.58941500,0.25958740
0.058,8.57049800,0.26015480
0.059,8.55138300,0.26074290
0.060,8.53223000,0.26133560
0.061,8.51307700,0.26192890
0.062,8.49392400,0.26252300
0.063,8.47477100,0.26311770
0.064,8.45561800,0.26371300
0.065,8.43646500,0.26430910
0.066,8.41731200,0.26490580
0.067,8.39815900,0.26550320
0.068,8.37900600,0.26610130
0.069,8.35985300,0.26670000
0.070,8.34070000,0.26729940
0.071,8.32139700,0.26791430
0.072,8.30198700,0.26854050
0.073,8.28257700,0.26916740
0.074,8.26316700,0.26979500
0.075,8.24375700,0.27042340
0.076,8.22428800,0.27105910
0.077,8.20460200,0.27172000
0.078,8.18491600,0.27238170
0.079,8.16523000,0.27304420
0.080,8.14554400,0.27370750
0.081,8.12585800,0.27437160
0.082,8.10617300,0.27503660
0.083,8.08648700,0.27570230
0.084,8.06680100,0.27636880
0.085,8.04711500,0.27703610
0.086,8.02742900,0.27770430
0.087,8.00774300,0.27837320
0.088,7.98797400,0.27905200
0.089,7.96804100,0.27974940
0.090,7.94810800,0.28044760
0.091,7.92817500,0.28114680
0.092,7.90824200,0.28184680
0.093,7.88830900,0.28254760
0.094,7.86820700,0.28327060
0.095,7.84798700,0.28400950
0.096,7.82776700,0.28474930
0.097,7.80754800,0.28549010
0.098,7.78732800,0.28623180
0.099,7.76710800,0.28697450
0.100,7.74688800,0.28771820
0.101,7.72666800,0.28846280
0.102,7.70644800,0.28920840
0.103,7.68622900,0.28995500
0.104,7.66600900,0.29070250
0.105,7.64576200,0.29145420
0.106,7.62524500,0.29223950
0.107,7.60472700,0.29302580
0.108,7.58420900,0.29381310
0.109,7.56369100,0.29460160
0.110,7.54317300,0.29539100
0.111,7.52265600,0.29618160
0.112,7.50183700,0.29701610
0.113,7.48100700,0.29785360
0.114,7.46017700,0.29869220
0.115,7.43934700,0.29953200
0.116,7.41851600,0.30037300
0.117,7.39768600,0.30121520
0.118,7.37685600,0.30205850
0.119,7.35602600,0.30290300
0.120,7.33519600,0.30374880
0.121,7.31436500,0.30459570
0.122,7.29353500,0.30544370
0.123,7.27244900,0.30632770
0.124,7.25131400,0.30721940
0.125,7.23018000,0.30811240
0.126,7.20904500,0.30900670
0.127,7.18791100,0.30990230
0.128,7.16677600,0.31079930
0.129,7.14554400,0.31171340
0.130,7.12411800,0.31266040
0.131,7.10269100,0.31360880
0.132,7.08126500,0.31455860
0.133,7.05983900,0.31550990
0.134,7.03841300,0.31646270
0.135,7.01698600,0.31741690
0.136,6.99556000,0.31837250
0.137,6.97413400,0.31932960
0.138,6.95270800,0.32028810
0.139,6.93128200,0.32124800
0.140,6.90965300,0.32224070
0.141,6.88788700,0.32325620
0.142,6.86612000,0.32427340
